Title,Genre,Year,Rating
The Meg,"['Action', 'Horror', 'Sci-Fi']",2018,5.6
Game Night,"['Action', 'Adventure', 'Comedy']",2018,6.9
X-Men: Apocalypse,"['Action', 'Adventure', 'Sci-Fi']",2016,6.9
King Arthur: Legend of the Sword,"['Action', 'Adventure', 'Drama']",2017,6.7
Den of Thieves,"['Action', 'Crime', 'Drama']",2018,7
Face/Off,"['Action', 'Crime', 'Sci-Fi']",1997,7.3
Murder Mystery,"['Action', 'Comedy', 'Crime']",2019,6
Snake Eyes,"['Action', 'Adventure', 'Crime']",1993,5.3
From Dusk Till Dawn,"['Action', 'Crime', 'Horror']",1996,7.2
The Hunger Games: Catching Fire,"['Action', 'Adventure', 'Drama']",2013,7.5
Ocean's Eight,"['Action', 'Comedy', 'Crime']",2018,6.3
RED,"['Action', 'Comedy', 'Crime']",2010,7
The Karate Kid,"['Action', 'Drama', 'Family']",1984,7.3
GoldenEye,"['Action', 'Adventure', 'Thriller']",1995,7.2
How to Train Your Dragon,"['Animation', 'Action', 'Adventure']",2010,8.1
Total Recall,"['Action', 'Adventure', 'Sci-Fi']",1990,7.5
Pineapple Express,"['Action', 'Comedy', 'Crime']",2008,6.9
Warrior,"['Action', 'Drama', 'Sport']",2011,8.2
Wolf Hound,"['Action', 'Adventure', 'War']",2022,3.9
Jack Reacher: Never Go Back,"['Action', 'Crime', 'Drama']",2016,6.1
Harry Potter and the Order of the Phoenix,"['Action', 'Adventure', 'Family']",2007,7.5
Hot Fuzz,"['Action', 'Comedy', 'Mystery']",2007,7.8
Allied,"['Action', 'Drama', 'Romance']",2016,7.1
American Made,"['Action', 'Comedy', 'Crime']",2017,7.1
First Blood,"['Action', 'Adventure', 'Thriller']",1982,7.7
The New Mutants,"['Action', 'Horror', 'Mystery']",2020,5.3
Eraser,"['Action', 'Crime', 'Thriller']",1996,6.1
Unlocked,"['Action', 'Thriller']",2017,6.3
The Spy Who Never Dies,"['Action', 'Comedy', 'Romance']",2022,5.2
Training Day,"['Action', 'Crime', 'Drama']",2001,7.7
Love and Monsters,"['Action', 'Adventure', 'Comedy']",2020,6.9
The Patriot,"['Action', 'Drama', 'History']",2000,7.2
Rango,"['Animation', 'Action', 'Adventure']",2011,7.2
Chaos Walking,"['Action', 'Adventure', 'Fantasy']",2021,5.7
Wanted,"['Action', 'Crime', 'Thriller']",2008,6.7
Rush Hour,"['Action', 'Comedy', 'Crime']",1998,7
Endangered Species,"['Action', 'Thriller']",2021,4.6
Spider-Man 2,"['Action', 'Adventure', 'Sci-Fi']",2004,7.4
Transformers: The Last Knight,"['Action', 'Adventure', 'Sci-Fi']",2017,5.2
Midnight Run,"['Action', 'Comedy', 'Crime']",1988,7.5
Ip Man: The Awakening,['Action'],2022,4.6
Overlord,"['Action', 'Horror', 'Sci-Fi']",2018,6.6
Dr. No,"['Action', 'Adventure', 'Thriller']",1962,7.2
Ava,"['Action', 'Drama', 'Thriller']",2020,5.4
Conan the Barbarian,"['Action', 'Adventure', 'Fantasy']",1982,6.9
Tomb Raider,"['Action', 'Adventure', 'Fantasy']",2018,6.3
Old Henry,"['Action', 'Drama', 'Western']",2021,7.2
Harry Potter and the Half-Blood Prince,"['Action', 'Adventure', 'Family']",2009,7.6
Logan's Run,"['Action', 'Adventure', 'Sci-Fi']",1976,6.8
Captain America: The Winter Soldier,"['Action', 'Adventure', 'Sci-Fi']",2014,7.8
Hard to Kill,"['Action', 'Crime', 'Drama']",1990,5.8
Open Range,"['Action', 'Drama', 'Romance']",2003,7.4
The Rocketeer,"['Action', 'Adventure', 'Family']",1991,6.5
The Nice Guys,"['Action', 'Comedy', 'Crime']",2016,7.3
Pearl Harbor,"['Action', 'Drama', 'History']",2001,6.2
Snowpiercer,"['Action', 'Sci-Fi', 'Thriller']",2013,7.1
Kung Fu Panda,"['Animation', 'Action', 'Adventure']",2008,7.6
Looper,"['Action', 'Drama', 'Sci-Fi']",2012,7.4
John Wick: Chapter 3 - Parabellum,"['Action', 'Crime', 'Thriller']",2019,7.4
Batman v Superman: Dawn of Justice,"['Action', 'Adventure', 'Sci-Fi']",2016,6.4
Inferno,"['Action', 'Adventure', 'Crime']",2016,6.2
Inferno,"['Action', 'Comedy', 'Drama']",2016,5.1
Planet of the Apes,"['Action', 'Adventure', 'Sci-Fi']",2001,5.7
King Kong,"['Action', 'Adventure', 'Drama']",2005,7.2
Masters of the Universe,"['Action', 'Adventure', 'Fantasy']",1987,5.3
Smokey and the Bandit,"['Action', 'Adventure', 'Comedy']",1977,6.9
Miami Vice,"['Action', 'Adventure', 'Crime']",2006,6
Polar,"['Action', 'Thriller']",2019,6.3
"Lock, Stock and Two Smoking Barrels","['Action', 'Comedy', 'Crime']",1998,8.2
Jumper,"['Action', 'Adventure', 'Sci-Fi']",2008,6.1
Mulan,"['Action', 'Adventure', 'Drama']",2020,5.7
Blade,"['Action', 'Horror', 'Sci-Fi']",1998,7.1
2012,"['Action', 'Adventure', 'Sci-Fi']",2009,5.8
Gold,"['Action', 'Thriller']",2022,5.4
Gold,"['Adventure', 'Drama', 'History']",2022,5.6
The Day After Tomorrow,"['Action', 'Adventure', 'Sci-Fi']",2004,6.4
The Warriors,"['Action', 'Crime', 'Thriller']",1979,7.5
The Warriors,"['Adventure', 'Drama', 'History']",1979,5.8
13 Hours,"['Action', 'Drama', 'History']",2016,7.3
The Protégé,"['Action', 'Thriller']",2021,6.1
Teenage Mutant Ninja Turtles,"['Action', 'Adventure', 'Comedy']",1990,6.7
Teenage Mutant Ninja Turtles,"['Animation', 'Action', 'Adventure']",1990,0
Mr. & Mrs. Smith,"['Action', 'Comedy', 'Crime']",2005,6.5
